agent_a,agent_b,a_wins,b_wins,draws,total,win_rate_a,avg_half_moves
DQN(ep14480),Minimax(d=3),0,20,0,20,0.0,46.5
DQN(ep14480),Minimax(d=4),10,10,0,20,0.5,91.0
DQN(ep14480),Minimax(d=5),0,20,0,20,0.0,55.5
DQN(ep14480),Minimax(d=6),0,20,0,20,0.0,55.5
Minimax(d=3),Minimax(d=4),0,20,0,20,0.0,96.5
Minimax(d=3),Minimax(d=5),0,20,0,20,0.0,47.5
Minimax(d=3),Minimax(d=6),10,10,0,20,0.5,53.0
Minimax(d=4),Minimax(d=5),0,20,0,20,0.0,87.5
Minimax(d=4),Minimax(d=6),10,10,0,20,0.5,63.0
Minimax(d=5),Minimax(d=6),0,10,10,20,0.0,138.5
